beer_name,beer_style,brewery_name,review_overall,review_aroma,review_palate,review_taste,average_review
Dominion Saison,Saison / Farmhouse Ale,Old Dominion Brewing Company,5.0,5.0,5.0,5.0,5.0
Randy's Panhead Porter,English Porter,The Ship Inn,5.0,5.0,5.0,5.0,5.0
Rail Spur Double IPA Bourbon Barrel Aged,American Double / Imperial IPA,Intuition Ale Works,5.0,5.0,5.0,5.0,5.0
Tricerahops Double IPA,American Double / Imperial IPA,Ninkasi Brewing Company,5.0,5.0,5.0,5.0,5.0
Jacobins Framboise,Lambic - Fruit,Brouwerij Bockor N.V.,5.0,5.0,5.0,5.0,5.0
Killer Bee,American Pale Ale (APA),The Ship Inn,5.0,5.0,5.0,5.0,5.0
Great Lakes Truth Justice And The American Ale,American Pale Ale (APA),Great Lakes Brewing Company,5.0,5.0,5.0,5.0,5.0
Eichbaum Pilsener,German Pilsener,Privatbrauerei Eichbaum GmbH & Co. KG,5.0,5.0,5.0,5.0,5.0
Holiday Cheer,American Porter,New Old Lompoc Brewery,5.0,5.0,5.0,5.0,5.0
Oak Aged Twisted Reality,American Barleywine,Minneapolis Town Hall Brewery,5.0,5.0,5.0,5.0,5.0
Premium Pilsener,German Pilsener,Brauerei Herrenhausen KG,5.0,5.0,5.0,5.0,5.0
Fritzkrieg Hop IPA,American IPA,Chelsea Brewing Company,5.0,5.0,5.0,5.0,5.0
Temporary Insanity Imperial Stout,Russian Imperial Stout,Blue & Gray Brewing Co.,5.0,5.0,5.0,5.0,5.0
Hamilton's Back In Black Imperial Chili Spiced Chocolate Milk Coffee Porter,American Porter,Karl Strauss Brewing Company,5.0,5.0,5.0,5.0,5.0
Dick's Kolsch,Kölsch,Founders Restaurant & Brewing Co.,5.0,5.0,5.0,5.0,5.0
Stone Brew,American Strong Ale,Lake Louie Brewery Company,5.0,5.0,5.0,5.0,5.0
Goodes Highland Scotch Ale,Scottish Ale,Howe Sound Inn & Brewing Company,5.0,5.0,5.0,5.0,5.0
Johnston Pilsner,Czech Pilsener,Dockside Restaurant & Brewing Co.,5.0,5.0,5.0,5.0,5.0
Alesmith Speedway Stout - Vanilla And Coconut ,American Double / Imperial Stout,AleSmith Brewing Company,5.0,5.0,5.0,5.0,5.0
Love Child Belgiweizen,Belgian Strong Pale Ale,Good People Brewing Company,5.0,5.0,5.0,5.0,5.0
Bell's Batch 2000,American Barleywine,"Bell's Brewery, Inc.",5.0,5.0,5.0,5.0,5.0
